update,policy_loss,value_loss,entropy,kl,clip_fraction,mean_reward,mean_turnover
1,-0.021187087520956993,0.002068415516987443,0.9185627102851868,0.014239685609936714,0.0966796875,-0.00047634384827688336,0.5339528322219849
2,-0.005920663475990295,0.0001749475341057405,0.9172829985618591,0.004956791177392006,0.0442708320915699,-0.0005203283508308232,0.524860143661499
3,0.020879017189145088,8.664073538966477e-05,0.9150729179382324,0.006569770164787769,0.05078125,-0.0005325202946551144,0.5479244589805603
4,-0.013972904533147812,0.00012768793385475874,0.9131426215171814,0.008359942585229874,0.0625,-0.0005748247494921088,0.515846848487854
5,-0.0009542468469589949,6.593880971195176e-05,0.911792516708374,0.0039850687608122826,0.05048076808452606,-0.0004873080179095268,0.5163249969482422
6,-0.0007515899487771094,0.00010149482113774866,0.9106245040893555,0.004999461583793163,0.0234375,-0.0005211355164647102,0.5345098972320557
7,-0.005711802747100592,0.0001021853749989532,0.9082783460617065,0.00867738388478756,0.08203125,-0.0005621220916509628,0.547095775604248
8,-0.00019065823289565742,6.920679879840463e-05,0.9065329432487488,0.003709083190187812,0.0401785708963871,-0.0004573090118356049,0.5233376622200012
9,0.000403273559641093,5.143554153619334e-05,0.9051113128662109,0.0097804581746459,0.07512019574642181,-0.0005677960580214858,0.535592794418335
10,0.007586904801428318,5.194439654587768e-05,0.905170738697052,0.014215577393770218,0.0538194440305233,-0.0005296849994920194,0.5275338888168335
update,policy_loss,value_loss,entropy,kl,clip_fraction,mean_reward,mean_turnover
1,-0.029654206708073616,0.0014458837686106563,0.9179996252059937,0.00840816181153059,0.0732421875,-0.0005598132265731692,0.5611391663551331
2,0.0018540440360084176,0.00016855905414558947,0.9154518246650696,0.0024554298724979162,0.02901785634458065,-0.0005923112039454281,0.5307804346084595
3,-0.0037159156054258347,9.263343963539228e-05,0.9128595590591431,0.0036917775869369507,0.04541015625,-0.0005666142678819597,0.5430951714515686
4,-0.006329200696200132,5.749228876084089e-05,0.9117838144302368,-0.0011135059176012874,0.037109375,-0.00048319765483029187,0.4911133050918579
5,0.006552466657012701,5.044033969170414e-05,0.9101592302322388,0.006562382448464632,0.0580357126891613,-0.000544278766028583,0.511606752872467
6,-0.00510557834059,3.681303860503249e-05,0.9101364016532898,0.002290490083396435,0.06201171875,-0.0005799190257675946,0.5455541014671326
7,-0.0012251673033460975,3.322070915601216e-05,0.9113147854804993,0.0076773990876972675,0.0794270858168602,-0.0005678890156559646,0.5571706295013428
8,-0.0013321915175765753,4.683018778450787e-05,0.911222517490387,0.009453041478991508,0.0591517873108387,-0.0005380591610446572,0.5509893894195557
9,0.0110572949051857,2.906432382587809e-05,0.9101698398590088,0.008962896652519703,0.10546875,-0.0005248960223980248,0.5398715734481812
10,-0.005375411827117205,3.465888948994689e-05,0.9090178608894348,0.00739005533978343,0.0703125,-0.00046638361527584493,0.5032832622528076
11,-0.01064517255872488,2.7266680262982845e-05,0.9070020318031311,0.012069055810570717,0.09375,-0.0004894973826594651,0.5125644207000732
12,-0.0034521440975368023,2.811701051541604e-05,0.9059382081031799,-0.0017048661829903722,0.04833984375,-0.0004846378287766129,0.5142881274223328
13,0.008522136136889458,3.712688703672029e-05,0.9058840274810791,0.013181391172111034,0.1142578125,-0.0005587266641668975,0.530099093914032
14,-0.014203243888914585,3.70083398593124e-05,0.9056109189987183,0.010847176425158978,0.0868055522441864,-0.0005129384226165712,0.54515141248703
15,0.003991675563156605,3.3211948903044686e-05,0.9051160216331482,0.009694740176200867,0.06321022659540176,-0.0003432036319281906,0.454387366771698
16,0.00033651036210358143,3.057685898966156e-05,0.9036686420440674,0.008865687996149063,0.0751953125,-0.0005016335635446012,0.5036289691925049
17,0.0049798134714365005,2.044302709691692e-05,0.9026244282722473,0.005251778289675713,0.1100260391831398,-0.00046455388655886054,0.5059810280799866
18,-0.012774825096130371,1.856523704191204e-05,0.9011488556861877,0.005170964635908604,0.0323660708963871,-0.0005191888194531202,0.5382844805717468
19,-0.005115950480103493,3.427654883125797e-05,0.8995419144630432,0.0013624329585582018,0.05829326808452606,-0.0005036500515416265,0.532520055770874
20,-0.0007580912206321955,3.133826976409182e-05,0.8972103595733643,0.003547526430338621,0.0224609375,-0.0005399635410867631,0.5657896399497986
21,-0.002313746139407158,2.99327693937812e-05,0.8958911895751953,0.002223820425570011,0.0517578125,-0.0005076454253867269,0.553910493850708
22,-0.010511194355785847,3.570857006707229e-05,0.8926683068275452,0.005589293781667948,0.0072115384973585606,-0.0005141071160323918,0.5095341205596924
23,-0.0028394870460033417,2.616553319967352e-05,0.8884671926498413,0.003953800071030855,0.02978515625,-0.0005902688135392964,0.5233968496322632
24,-0.017428642138838768,3.7457055441336706e-05,0.885358452796936,0.008288243785500526,0.08437500149011612,-0.0004811847466044128,0.4977784752845764
25,-0.0010732319205999374,2.556124672992155e-05,0.8825200796127319,-0.0007323973113670945,0.04736328125,-0.000519605993758887,0.5066337585449219
26,-0.014655324630439281,2.0218281861161813e-05,0.8806214928627014,0.005837093573063612,0.07102272659540176,-0.0005875995848327875,0.5185137391090393
27,-0.010074694640934467,2.2579715732717887e-05,0.8803927302360535,0.001368045574054122,0.042067307978868484,-0.0005736095481552184,0.515019416809082
28,-0.002296674530953169,2.5424722480238415e-05,0.8790063858032227,-0.0033472422510385513,0.01708984375,-0.0005172129604034126,0.48612385988235474
29,-0.012900171801447868,2.4054152163444087e-05,0.877454936504364,0.012042587623000145,0.0556640625,-0.0005414184415712953,0.5169770121574402
30,-0.03866158798336983,2.3275211788131855e-05,0.8763002753257751,0.015402687713503838,0.2366071492433548,-0.0004534494364634156,0.4741213321685791
31,-0.01811089739203453,3.3217078453162685e-05,0.8756959438323975,0.004210463725030422,0.05823863670229912,-0.0004739301512017846,0.5027825236320496
32,-0.008000464178621769,2.223812771262601e-05,0.8752229809761047,0.005632705986499786,0.06605113297700882,-0.0004763769102282822,0.48675742745399475
33,-0.0021891307551413774,3.6532739613903686e-05,0.8737247586250305,0.011386062949895859,0.0611979179084301,-0.0004444844089448452,0.4470311403274536
34,-0.0032182924915105104,2.6557358069112524e-05,0.871436595916748,0.003293329384177923,0.0498046875,-0.0005257618613541126,0.5112712979316711
35,0.002662075450643897,1.5612282368238084e-05,0.8687270879745483,0.009574656374752522,0.07386363297700882,-0.0003854478127323091,0.45974016189575195
36,-0.00524255121126771,1.6245403458015062e-05,0.8673059940338135,0.0023555520456284285,0.0377604179084301,-0.0004163713601883501,0.46811288595199585
37,-0.018973765894770622,1.4558700058842078e-05,0.8659563064575195,0.009449190460145473,0.14488635957241058,-0.00042560126166790724,0.4817706048488617
38,-0.004071174655109644,1.6202160622924566e-05,0.8638565540313721,0.011999830603599548,0.0638020858168602,-0.00036718742921948433,0.4659655690193176
39,-0.010314919985830784,1.2777304618794005e-05,0.8625157475471497,0.0031135124154388905,0.08229167014360428,-0.00041582633275538683,0.42719924449920654
40,-0.002126638311892748,1.5239284039125778e-05,0.8616682887077332,0.010156297124922276,0.05859375,-0.0004636914818547666,0.45595675706863403
41,-0.004248758312314749,1.2305778909649234e-05,0.8609489798545837,0.006243936251848936,0.1233258917927742,-0.00037669690209440887,0.45698267221450806
42,0.0004958487115800381,1.3421537005342543e-05,0.8601158857345581,0.0024725012481212616,0.08154296875,-0.0004349620430730283,0.4026702046394348
43,0.01892855018377304,1.966002855624538e-05,0.8595607876777649,0.008266876451671124,0.08309659361839294,-0.0004109872679691762,0.4218072295188904
44,0.008697898127138615,1.3762674825557042e-05,0.8589560985565186,0.009658881463110447,0.13423295319080353,-0.0004228040052112192,0.4596487283706665
45,0.0008603284950368106,1.2540010175143834e-05,0.8584244847297668,0.0030815517529845238,0.0494791679084301,-0.00041837047319859266,0.44342729449272156
46,0.0024129117373377085,8.75719797477359e-06,0.8583042621612549,0.007247579284012318,0.03338068351149559,-0.00040645262924954295,0.38243043422698975
47,0.0007746797055006027,1.3942786608822644e-05,0.8576540946960449,0.009929069317877293,0.123046875,-0.00041897629853338003,0.35227715969085693
48,0.016781607642769814,1.123653055401519e-05,0.8570706248283386,0.011448805220425129,0.1037946417927742,-0.0003597799804992974,0.3851394057273865
49,0.007505391724407673,1.587953738635406e-05,0.8570258021354675,0.005115153267979622,0.06911057978868484,-0.00033674450241960585,0.35833045840263367
50,0.0022632968612015247,1.3721672075917013e-05,0.856495201587677,0.0037266514264047146,0.0758928582072258,-0.0003741222608368844,0.38774892687797546
