asset,model_name,config_path,best_model_path,status
AAPL,single_asset_run1_ppo_AAPL,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/AAPL_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_AAPL/best_model.zip,trained
AMGN,single_asset_run1_ppo_AMGN,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/AMGN_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_AMGN/best_model.zip,trained
AMZN,single_asset_run1_ppo_AMZN,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/AMZN_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_AMZN/best_model.zip,trained
AXP,single_asset_run1_ppo_AXP,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/AXP_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_AXP/best_model.zip,trained
BA,single_asset_run1_ppo_BA,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/BA_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_BA/best_model.zip,trained
CAT,single_asset_run1_ppo_CAT,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/CAT_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_CAT/best_model.zip,trained
CRM,single_asset_run1_ppo_CRM,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/CRM_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_CRM/best_model.zip,trained
CSCO,single_asset_run1_ppo_CSCO,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/CSCO_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_CSCO/best_model.zip,trained
CVX,single_asset_run1_ppo_CVX,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/CVX_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_CVX/best_model.zip,trained
DIA,single_asset_run1_ppo_DIA,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/DIA_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_DIA/best_model.zip,trained
DIS,single_asset_run1_ppo_DIS,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/DIS_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_DIS/best_model.zip,trained
GS,single_asset_run1_ppo_GS,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/GS_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_GS/best_model.zip,trained
HD,single_asset_run1_ppo_HD,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/HD_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_HD/best_model.zip,trained
HON,single_asset_run1_ppo_HON,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/HON_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_HON/best_model.zip,trained
IBM,single_asset_run1_ppo_IBM,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/IBM_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_IBM/best_model.zip,trained
JNJ,single_asset_run1_ppo_JNJ,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/JNJ_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_JNJ/best_model.zip,trained
JPM,single_asset_run1_ppo_JPM,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/JPM_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_JPM/best_model.zip,trained
KO,single_asset_run1_ppo_KO,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/KO_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_KO/best_model.zip,trained
MCD,single_asset_run1_ppo_MCD,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/MCD_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_MCD/best_model.zip,trained
MMM,single_asset_run1_ppo_MMM,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/MMM_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_MMM/best_model.zip,trained
MRK,single_asset_run1_ppo_MRK,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/MRK_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_MRK/best_model.zip,trained
MSFT,single_asset_run1_ppo_MSFT,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/MSFT_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_MSFT/best_model.zip,trained
NKE,single_asset_run1_ppo_NKE,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/NKE_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_NKE/best_model.zip,trained
NVDA,single_asset_run1_ppo_NVDA,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/NVDA_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_NVDA/best_model.zip,trained
PG,single_asset_run1_ppo_PG,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/PG_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_PG/best_model.zip,trained
QQQ,single_asset_run1_ppo_QQQ,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/QQQ_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_QQQ/best_model.zip,trained
SHW,single_asset_run1_ppo_SHW,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/SHW_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_SHW/best_model.zip,trained
SPY,single_asset_run1_ppo_SPY,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/SPY_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_SPY/best_model.zip,trained
TRV,single_asset_run1_ppo_TRV,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/TRV_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_TRV/best_model.zip,trained
UNH,single_asset_run1_ppo_UNH,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/UNH_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_UNH/best_model.zip,trained
V,single_asset_run1_ppo_V,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/V_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_V/best_model.zip,trained
VZ,single_asset_run1_ppo_VZ,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/VZ_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_VZ/best_model.zip,trained
WMT,single_asset_run1_ppo_WMT,/root/DrlPpoTransformer/configs/generated/single_asset_run1/ppo/WMT_ppo.json,checkpoints/single_asset/single_asset_run1/single_asset_run1_ppo_WMT/best_model.zip,trained
